Time,Current,Power
0.032,42.04,232.278
0.418,40.3,231.548
0.792,39.21,230.291
1.197,39.04,230.753
1.603,38.87,229.497
1.977,38.73,228.327
2.381,38.64,228.004
2.786,38.61,228.327
3.159,38.41,226.759
3.562,38.35,226.823
3.938,38.19,225.088
4.341,38.08,225.566
4.746,38.01,225.477
5.121,38.04,225.177
5.529,38,225.04
5.884,37.97,225.163
6.234,37.9,224.534
6.583,37.97,224.085
6.933,37.9,224.07
7.309,37.82,224.085
7.657,37.72,224.399
8.006,37.68,222.979
8.356,37.59,221.482
8.705,37.57,223.458
9.08,37.52,220.854
9.429,37.41,221.408
9.779,37.31,221.796
10.128,37.27,221.796
10.477,37.32,222.813
10.853,37.31,220.965
11.202,37.18,220.613
11.551,37.26,221.722
11.901,37.23,220.78
12.25,37.18,219.765
12.626,37.19,219.545
12.974,37.06,218.486
13.324,37.02,217.831
13.673,37,218.771
14.022,37.04,218.677
14.372,36.97,219.283
14.748,36.88,219.231
15.097,36.83,217.495
15.447,36.79,218.268
15.85,36.91,217.422
16.199,36.71,215.853
16.549,36.48,217.833
16.898,36.57,216.528
17.247,36.57,216.722
17.597,36.49,215.637
17.963,36.42,216.625
18.321,36.49,216.384
18.671,36.41,213.728
19.02,36.3,215.298
19.37,36.27,213.842
19.73,36.26,213.8
20.095,36.11,214.769
20.444,36.1,214.956
20.793,36.17,215.657
21.143,36.25,215.199
21.492,36.19,212.858
21.868,36.09,212.23
22.27,35.91,212.442
22.637,36.02,212.402
22.997,35.84,212.269
23.399,35.88,211.845
23.747,35.79,211.532
24.096,35.7,212.442
24.447,35.7,211.5
24.795,35.69,212.828
25.172,35.75,211.5
25.521,35.82,211.775
25.871,35.78,211.955
26.218,35.79,211.987
26.568,35.75,213.426
26.944,35.89,210.66
27.295,35.8,210.59
27.697,35.69,212.159
28.046,35.74,211.673
28.395,35.61,210.974
28.745,35.64,211.082
29.093,35.68,211.461
29.442,35.68,212.199
29.819,35.66,211.288
30.168,35.66,211.673
30.518,35.75,212.686
30.865,35.76,211.916
31.217,35.75,212.584
31.564,35.76,213.142
31.914,35.83,212.402
32.291,35.78,211.641
32.693,35.68,210.871
33.061,35.71,210.731
33.419,35.64,210.557
33.768,35.55,209.648
34.145,35.42,210.453
34.493,35.47,210.068
34.846,35.56,210.206
35.245,35.47,211.641
35.594,35.46,208.916
35.944,35.4,210.767
36.293,35.5,208.671
36.642,35.4,208.777
37.02,35.29,208.741
37.367,35.22,209.16
37.717,35.26,209.439
38.066,35.22,209.544
38.417,35.18,208.005
38.819,35.19,208.428
39.168,35.08,207.483
39.517,35.06,209.718
39.866,35.19,208.951
40.242,35.13,209.788
40.591,35.18,208.079
40.94,35.08,208.568
41.289,35.1,207.976
41.639,35.06,207.031
41.988,34.99,206.294
42.366,34.96,206.363
42.713,34.87,205.951
43.062,34.78,205.46
43.411,34.66,205.392
43.761,34.59,205.951
44.11,34.72,205.814
44.486,34.65,205.597
44.835,34.56,206.363
45.185,34.61,204.161
45.587,34.52,204.722
45.936,34.52,203.999
46.286,34.48,205.037
46.634,34.44,205.078
47.011,34.47,204.067
47.359,34.43,203.261
47.709,34.31,202.812
48.058,34.28,203.957
48.409,34.15,205.556
48.756,34.14,203.889
49.107,34.3,203.795
49.483,34.25,202.879
49.884,34.23,203.575
50.251,34.26,204.722
50.611,34.34,203.236
50.961,34.24,203.372
51.309,34.18,203.711
51.686,34.1,202.812
52.089,34.07,201.757
52.454,33.95,201.623
52.814,33.94,202.251
53.163,34.01,201.623
53.513,33.98,201.668
53.888,33.94,202.97
54.239,33.9,202.922
54.641,34.01,200.928
54.989,33.9,200.547
55.337,33.88,201.062
55.687,33.86,201.062
56.036,33.81,201.085
56.385,33.88,202.139
56.763,33.91,202.633
57.111,33.85,200.681
57.461,33.85,202.565
57.81,33.86,201.04
58.16,33.73,201.242
58.509,33.72,200.413
58.886,33.64,200.995
59.287,33.59,200.794
59.653,33.62,200.186
60.012,33.63,202.004
60.361,33.72,201.108
60.713,33.71,200.253
61.087,33.73,201.556
61.437,33.71,201.421
61.785,33.64,201.129
62.134,33.59,200.434
62.484,33.58,199.624
62.859,33.54,200.3
63.208,33.5,200.701
63.558,33.52,199.491
63.908,33.49,200.119
64.309,33.48,198.995
64.66,33.52,199.111
65.009,33.54,201.376
65.359,33.57,199.225
65.734,33.56,199.177
66.097,33.4,198.73
66.487,33.38,199.805
66.851,33.3,198.615
67.211,33.35,198.796
67.56,33.31,198.995
67.91,33.35,198.929
68.286,33.38,196.963
68.635,33.21,197.738
68.985,33.34,198.73
69.335,33.24,199.044
69.736,33.42,196.816
70.085,33.15,198.796
70.435,33.08,197.986
70.784,33.16,198.845
71.16,33.16,196.86
71.509,33.16,196.912
71.859,33.03,196.153
72.208,33.01,196.336
72.558,32.92,198.367
72.905,32.97,195.786
73.283,33.07,196.022
73.685,32.94,198.367
74.051,32.89,195.798
74.412,32.93,196.231
74.759,32.81,194.15
75.109,32.77,195.721
75.486,32.79,194.844
75.889,32.82,196.219
76.254,32.88,196.088
76.613,32.87,197.738
76.963,33,196.284
77.312,33.01,197.029
77.688,32.89,195.158
78.038,32.89,196.231
78.439,32.85,194.898
78.788,32.85,196.715
79.137,32.79,195.277
79.487,32.78,194.649
79.837,32.81,196.415
80.186,32.8,194.963
80.536,32.84,194.14
80.901,32.69,196.178
81.26,32.76,194.649
81.61,32.7,195.277
81.959,32.72,193.772
82.309,32.62,193.53
82.684,32.65,196.939
83.033,32.86,196.401
83.383,32.72,195.656
83.732,32.73,194.714
84.081,32.7,194.973
84.484,32.66,195.733
84.833,32.69,195.103
85.181,32.65,196.808
85.559,32.71,194.768
85.908,32.64,193.651
86.259,32.62,197.528
86.606,32.97,192.748
86.957,32.49,193.836
87.304,32.39,194.345
87.656,32.52,193.956
88.031,32.36,192.829
88.434,32.26,192.201
88.799,32.35,191.951
89.158,32.34,192.58
89.508,32.28,192.894
89.858,32.25,193.079
